序号,名称,经度,纬度
356,13号线#356,121.88325579,39.37518019
357,13号线#357,121.88305596,39.37486924
358,13号线#358,121.88285613,39.37455829
359,13号线#359,121.8826563,39.37424734
360,13号线#360,121.88245647,39.37393638
361,13号线#361,121.88225664,39.37362543
362,13号线#362,121.88205681,39.37331447
363,13号线#363,121.88185698,39.37300352
364,13号线#364,121.88165715,39.37269256
365,13号线#365,121.88145733,39.3723816
366,13号线#366,121.8812575,39.37207064
367,13号线#367,121.88105767,39.37175967
368,13号线#368,121.88085784,39.37144871
369,13号线#369,121.88065801,39.37113774
370,13号线#370,121.88045818,39.37082678
371,13号线#371,121.88025835,39.37051581
372,13号线#372,121.88005852,39.37020484
373,13号线#373,121.87985869,39.36989387
374,13号线#374,121.87965887,39.36958289
375,13号线#375,121.87945904,39.36927192
376,13号线#376,121.87925921,39.36896094
377,13号线#377,121.87905938,39.36864997
378,13号线#378,121.87885955,39.36833899
379,13号线#379,121.87865972,39.36802801
380,13号线#380,121.87845989,39.36771703
381,13号线#381,121.87826006,39.36740605
382,13号线#382,121.87806023,39.36709506
383,13号线#383,121.8778604,39.36678408
384,13号线#384,121.87766058,39.36647309
385,13号线#385,121.87746075,39.3661621
386,13号线#386,121.87726092,39.36585111
387,13号线#387,121.87706109,39.36554012
388,13号线#388,121.87686126,39.36522913
389,13号线#389,121.87666143,39.36491814
390,13号线#390,121.8764616,39.36460714
391,13号线#391,121.87626177,39.36429615
392,13号线#392,121.87606194,39.36398515
393,13号线#393,121.87586212,39.36367415
394,13号线#394,121.87566229,39.36336315
395,13号线#395,121.87546246,39.36305215
396,13号线#396,121.87526263,39.36274115
397,13号线#397,121.8750628,39.36243014
398,13号线#398,121.87486297,39.36211914
399,13号线#399,121.87466314,39.36180813
400,13号线#400,121.87446331,39.36149712
401,13号线#401,121.87426348,39.36118611
402,13号线#402,121.87406366,39.3608751
403,13号线#403,121.87386383,39.36056409
404,13号线#404,121.873664,39.36025307
405,13号线#405,121.87346417,39.35994206
406,13号线#406,121.87326434,39.35963104
407,13号线#407,121.87306451,39.35932002
408,13号线#408,121.87286468,39.359009
409,13号线#409,121.87266485,39.35869798
410,13号线#410,121.87246502,39.35838696
411,13号线#411,121.87226519,39.35807593
412,13号线#412,121.87206537,39.35776491
413,13号线#413,121.87186554,39.35745388
414,13号线#414,121.87166571,39.35714286
415,13号线#415,121.87146588,39.35683183
416,13号线#416,121.87126605,39.35652079
417,13号线#417,121.87106622,39.35620976
418,13号线#418,121.87086639,39.35589873
419,13号线#419,121.87066656,39.35558769
420,13号线#420,121.87046673,39.35527666
421,13号线#421,121.87026691,39.35496562
422,13号线#422,121.87006708,39.35465458
423,13号线#423,121.86986725,39.35434354
424,13号线#424,121.86966742,39.3540325
425,13号线#425,121.86946759,39.35372146
426,13号线#426,121.86926776,39.35341041
427,13号线#427,121.86906793,39.35309937
428,13号线#428,121.8688681,39.35278832
429,13号线#429,121.86866827,39.35247727
430,13号线#430,121.86846844,39.35216622
431,13号线#431,121.86826862,39.35185517
432,13号线#432,121.86806879,39.35154411
433,13号线#433,121.86786896,39.35123306
434,13号线#434,121.86766913,39.350922
435,13号线#435,121.8674693,39.35061095
436,13号线#436,121.86726947,39.35029989
437,13号线#437,121.86706964,39.34998883
438,13号线#438,121.86686981,39.34967777
439,13号线#439,121.86666998,39.34936671
440,13号线#440,121.86647016,39.34905564
441,13号线#441,121.86627033,39.34874458
442,13号线#442,121.8660705,39.34843351
443,13号线#443,121.86587067,39.34812244
444,13号线#444,121.86567084,39.34781137
445,13号线#445,121.86547101,39.3475003
446,13号线#446,121.86527118,39.34718923
447,13号线#447,121.86507135,39.34687816
448,13号线#448,121.86487152,39.34656708
449,13号线#449,121.8646717,39.346256
450,13号线#450,121.86447187,39.34594493
451,13号线#451,121.86427204,39.34563385
452,13号线#452,121.86407221,39.34532277
453,13号线#453,121.86387238,39.34501168
454,13号线#454,121.86367255,39.3447006
455,13号线#455,121.86347272,39.34438952
456,13号线#456,121.86327289,39.34407843
457,13号线#457,121.86307306,39.34376734
458,13号线#458,121.86287323,39.34345625
459,13号线#459,121.86267341,39.34314516
460,13号线#460,121.86247358,39.34283407
461,13号线#461,121.86227375,39.34252298
462,13号线#462,121.86207392,39.34221188
463,13号线#463,121.86187409,39.34190079
464,13号线#464,121.86167426,39.34158969
465,13号线#465,121.86147443,39.34127859
466,13号线#466,121.8612746,39.34096749
467,13号线#467,121.86107477,39.34065639
468,13号线#468,121.86087495,39.34034529
469,13号线#469,121.86067512,39.34003418
470,13号线#470,121.86047529,39.33972308
471,13号线#471,121.86027546,39.33941197
472,13号线#472,121.86007563,39.33910086
473,13号线#473,121.8598758,39.33878975
474,13号线#474,121.85967597,39.33847864
475,13号线#475,121.85947614,39.33816753
476,13号线#476,121.85927631,39.33785642
477,13号线#477,121.85907648,39.3375453
478,13号线#478,121.85887666,39.33723418
479,13号线#479,121.85867683,39.33692307
480,13号线#480,121.858477,39.33661195
481,13号线#481,121.85827717,39.33630083
482,13号线#482,121.85807734,39.3359897
483,13号线#483,121.85787751,39.33567858
484,13号线#484,121.85767768,39.33536746
485,13号线#485,121.85747785,39.33505633
486,13号线#486,121.85727802,39.3347452
487,13号线#487,121.8570782,39.33443407
488,13号线#488,121.85687837,39.33412294
489,13号线#489,121.85667854,39.33381181
490,13号线#490,121.85647871,39.33350068
491,13号线#491,121.85627888,39.33318954
492,13号线#492,121.85607905,39.33287841
493,13号线#493,121.85587922,39.33256727
494,13号线#494,121.85567939,39.33225613
495,13号线#495,121.85547956,39.33194499
496,13号线#496,121.85527974,39.33163385
497,13号线#497,121.85507991,39.33132271
498,13号线#498,121.85488008,39.33101156
499,13号线#499,121.85468025,39.33070042
500,13号线#500,121.85448042,39.33038927
501,13号线#501,121.85428059,39.33007812
502,13号线#502,121.85408076,39.32976697
503,13号线#503,121.85388093,39.32945582
504,13号线#504,121.8536811,39.32914467
505,13号线#505,121.85348127,39.32883351
506,13号线#506,121.85328145,39.32852236
507,13号线#507,121.85308162,39.3282112
508,13号线#508,121.85288179,39.32790004
509,13号线#509,121.85268196,39.32758888
510,13号线#510,121.85248213,39.32727772
511,13号线#511,121.8522823,39.32696656
512,13号线#512,121.85208247,39.3266554
513,13号线#513,121.85188264,39.32634423
514,13号线#514,121.85168281,39.32603307
515,13号线#515,121.85148299,39.3257219
516,13号线#516,121.85128316,39.32541073
517,13号线#517,121.85108333,39.32509956
518,13号线#518,121.8508835,39.32478839
519,13号线#519,121.85068367,39.32447721
520,13号线#520,121.85048384,39.32416604
521,13号线#521,121.85028401,39.32385486
522,13号线#522,121.85008418,39.32354368
523,13号线#523,121.84988435,39.32323251
524,13号线#524,121.84968452,39.32292132
525,13号线#525,121.8494847,39.32261014
526,13号线#526,121.84928487,39.32229896
527,13号线#527,121.84908504,39.32198778
528,13号线#528,121.84888521,39.32167659
529,13号线#529,121.84868538,39.3213654
530,13号线#530,121.84848555,39.32105421
531,13号线#531,121.84828572,39.32074302
532,13号线#532,121.84808589,39.32043183
533,13号线#533,121.84788606,39.32012064
534,13号线#534,121.84768624,39.31980945
535,13号线#535,121.84748641,39.31949825
536,13号线#536,121.84728658,39.31918705
537,13号线#537,121.84708675,39.31887586
538,13号线#538,121.84688692,39.31856466
539,13号线#539,121.84668709,39.31825345
540,13号线#540,121.84648726,39.31794225
541,13号线#541,121.84628743,39.31763105
542,13号线#542,121.8460876,39.31731984
543,13号线#543,121.84588778,39.31700864
544,13号线#544,121.84568795,39.31669743
545,13号线#545,121.84548812,39.31638622
546,13号线#546,121.84528829,39.31607501
547,13号线#547,121.84508846,39.3157638
548,13号线#548,121.84488863,39.31545258
549,13号线#549,121.8446888,39.31514137
550,13号线#550,121.84448897,39.31483015
551,13号线#551,121.84428914,39.31451893
552,13号线#552,121.84408931,39.31420772
553,13号线#553,121.84388949,39.31389649
554,13号线#554,121.84368966,39.31358527
555,13号线#555,121.84348983,39.31327405
556,13号线#556,121.84329,39.31296283
557,13号线#557,121.84309017,39.3126516
558,13号线#558,121.84289034,39.31234037
559,13号线#559,121.84269051,39.31202914
560,13号线#560,121.84249068,39.31171791
561,13号线#561,121.84229085,39.31140668
562,13号线#562,121.84209103,39.31109545
563,13号线#563,121.8418912,39.31078421
564,13号线#564,121.84169137,39.31047298
565,13号线#565,121.84149154,39.31016174
566,13号线#566,121.84129171,39.3098505
567,13号线#567,121.84109188,39.30953926
568,13号线#568,121.84089205,39.30922802
569,13号线#569,121.84069222,39.30891678
570,13号线#570,121.84049239,39.30860554
571,13号线#571,121.84029256,39.30829429
572,13号线#572,121.84009274,39.30798304
573,13号线#573,121.83989291,39.3076718
574,13号线#574,121.83969308,39.30736055
575,13号线#575,121.83949325,39.3070493
576,13号线#576,121.83929342,39.30673804
577,13号线#577,121.83909359,39.30642679
578,13号线#578,121.83889376,39.30611553
579,13号线#579,121.83869393,39.30580428
580,13号线#580,121.8384941,39.30549302
581,13号线#581,121.83829428,39.30518176
582,13号线#582,121.83809445,39.3048705
583,13号线#583,121.83789462,39.30455924
584,13号线#584,121.83769479,39.30424797
585,13号线#585,121.83749496,39.30393671
586,13号线#586,121.83729513,39.30362544
587,13号线#587,121.8370953,39.30331418
588,13号线#588,121.83689547,39.30300291
589,13号线#589,121.83669564,39.30269164
590,13号线#590,121.83649582,39.30238037
591,13号线#591,121.83629599,39.30206909
592,13号线#592,121.83609616,39.30175782
593,13号线#593,121.83589633,39.30144654
594,13号线#594,121.8356965,39.30113527
595,13号线#595,121.83549667,39.30082399
596,13号线#596,121.83529684,39.30051271
597,13号线#597,121.83509701,39.30020143
598,13号线#598,121.83489718,39.29989014
599,13号线#599,121.83469735,39.29957886
600,13号线#600,121.83449753,39.29926757
601,13号线#601,121.8342977,39.29895629
602,13号线#602,121.83409787,39.298645
603,13号线#603,121.83389804,39.29833371
604,13号线#604,121.83369821,39.29802242
605,13号线#605,121.83349838,39.29771113
606,13号线#606,121.83329855,39.29739983
607,13号线#607,121.83309872,39.29708854
608,13号线#608,121.83289889,39.29677724
609,13号线#609,121.83269907,39.29646594
610,13号线#610,121.83249924,39.29615464
611,13号线#611,121.83229941,39.29584334
612,13号线#612,121.83209958,39.29553204
613,13号线#613,121.83189975,39.29522074
614,13号线#614,121.83169992,39.29490943
615,13号线#615,121.83150009,39.29459812
616,13号线#616,121.83130026,39.29428682
617,13号线#617,121.83110043,39.29397551
618,13号线#618,121.8309006,39.2936642
619,13号线#619,121.83070078,39.29335289
620,13号线#620,121.83050095,39.29304157
621,13号线#621,121.83030112,39.29273026
622,13号线#622,121.83010129,39.29241894
623,13号线#623,121.82990146,39.29210763
624,13号线#624,121.82970163,39.29179631
625,13号线#625,121.8295018,39.29148499
626,13号线#626,121.82930197,39.29117366
627,13号线#627,121.82910214,39.29086234
628,13号线#628,121.82890232,39.29055102
629,13号线#629,121.82870249,39.29023969
630,13号线#630,121.82850266,39.28992837
631,13号线#631,121.82830283,39.28961704
632,13号线#632,121.828103,39.28930571
633,13号线#633,121.82790317,39.28899438
634,13号线#634,121.82770334,39.28868304
635,13号线#635,121.82750351,39.28837171
636,13号线#636,121.82730368,39.28806037
637,13号线#637,121.82710386,39.28774904
638,13号线#638,121.82690403,39.2874377
639,13号线#639,121.8267042,39.28712636
640,13号线#640,121.82650437,39.28681502
641,13号线#641,121.82630454,39.28650368
642,13号线#642,121.82610471,39.28619233
643,13号线#643,121.82590488,39.28588099
644,13号线#644,121.82570505,39.28556964
645,13号线#645,121.82550522,39.28525829
646,13号线#646,121.82530539,39.28494694
647,13号线#647,121.82510557,39.28463559
648,13号线#648,121.82490574,39.28432424
649,13号线#649,121.82470591,39.28401289
650,13号线#650,121.82450608,39.28370153
651,13号线#651,121.82430625,39.28339018
652,13号线#652,121.82410642,39.28307882
653,13号线#653,121.82390659,39.28276746
654,13号线#654,121.82370676,39.2824561
655,13号线#655,121.82350693,39.28214474
656,13号线#656,121.82330711,39.28183338
657,13号线#657,121.82310728,39.28152201
658,13号线#658,121.82290745,39.28121065
659,13号线#659,121.82270762,39.28089928
660,13号线#660,121.82250779,39.28058791
661,13号线#661,121.82230796,39.28027654
662,13号线#662,121.82210813,39.27996517
663,13号线#663,121.8219083,39.2796538
664,13号线#664,121.82170847,39.27934242
665,13号线#665,121.82150864,39.27903105
666,13号线#666,121.82130882,39.27871967
667,13号线#667,121.82110899,39.27840829
668,13号线#668,121.82090916,39.27809691
669,13号线#669,121.82070933,39.27778553
670,13号线#670,121.8205095,39.27747415
671,13号线#671,121.82030967,39.27716277
672,13号线#672,121.82010984,39.27685138
673,13号线#673,121.81991001,39.27653999
674,13号线#674,121.81971018,39.27622861
675,13号线#675,121.81951036,39.27591722
676,13号线#676,121.81931053,39.27560583
677,13号线#677,121.8191107,39.27529443
678,13号线#678,121.81891087,39.27498304
679,13号线#679,121.81871104,39.27467165
680,13号线#680,121.81851121,39.27436025
681,13号线#681,121.81831138,39.27404885
682,13号线#682,121.81811155,39.27373745
683,13号线#683,121.81791172,39.27342605
684,13号线#684,121.8177119,39.27311465
685,13号线#685,121.81751207,39.27280325
686,13号线#686,121.81731224,39.27249184
687,13号线#687,121.81711241,39.27218044
688,13号线#688,121.81691258,39.27186903
689,13号线#689,121.81671275,39.27155762
690,13号线#690,121.81651292,39.27124621
691,13号线#691,121.81631309,39.2709348
692,13号线#692,121.81611326,39.27062339
693,13号线#693,121.81591343,39.27031197
694,13号线#694,121.81571361,39.27000056
695,13号线#695,121.81551378,39.26968914
696,13号线#696,121.81531395,39.26937772
697,13号线#697,121.81511412,39.2690663
698,13号线#698,121.81491429,39.26875488
